Étrez;ETREZ;1340
Évosges;EVOSGES;1230
Faramans;FARAMANS;1800
Fareins;FAREINS;1480
Farges;FARGES;1550
Feillens;FEILLENS;1570
Ferney-Voltaire;FERNEY VOLTAIRE;1210
Fitignieu;FITIGNIEU;1260
Flaxieu;FLAXIEU;1350
Foissiat;FOISSIAT;1340
Amareins Francheleins Ces;AMAREINS FRANCHELEINS CES;1090
Frans;FRANS;1480
Garnerans;GARNERANS;1140
Genouilleux;GENOUILLEUX;1090
Géovreissiat;GEOVREISSIAT;1460
Géovreisset;GEOVREISSET;1100
Germagnat;GERMAGNAT;1250
Gex;GEX;1170
Giron;GIRON;1130
Gorrevod;GORREVOD;1190
Le Grand-Abergement;LE GRAND ABERGEMENT;1260
Grand-Corent;GRAND CORENT;1250
Granges;GRANGES;1580
Grièges;GRIEGES;1290
Grilly;GRILLY;1220
Groissiat;GROISSIAT;1810
Groslée;GROSLEE;1680
Guéreins;GUEREINS;1090
Hautecourt Romanèche;HAUTECOURT ROMANECHE;1250
Hauteville-Lompnes;HAUTEVILLE LOMPNES;1110
Hostias;HOSTIAS;1110
Hotonnes;HOTONNES;1260
Illiat;ILLIAT;1140
Injoux Génissiat;INJOUX GENISSIAT;1200
Innimond;INNIMOND;1680
Izenave;IZENAVE;1430
Izernore;IZERNORE;1580
Izieu;IZIEU;1300
Jassans-Riottier;JASSANS RIOTTIER;1480
Jasseron;JASSERON;1250
Jayat;JAYAT;1340
Journans;JOURNANS;1250
Joyeux;JOYEUX;1800
Jujurieux;JUJURIEUX;1640
Labalme;LABALME;1450
Lagnieu;LAGNIEU;1150
Laiz;LAIZ;1290
Lalleyriat;LALLEYRIAT;1130
Lancrans;LANCRANS;1200
Lantenay;LANTENAY;1430
Lapeyrouse;LAPEYROUSE;1330
Lavours;LAVOURS;1350
Léaz;LEAZ;1200
Lélex;LELEX;1410
Lent;LENT;1240
Lescheroux;LESCHEROUX;1560
Leyment;LEYMENT;1150
Leyssard;LEYSSARD;1450
Lhuis;LHUIS;1680
Lilignod;LILIGNOD;1260
Lochieu;LOCHIEU;1260
Lompnas;LOMPNAS;1680
Lompnieu;LOMPNIEU;1260
Loyes;LOYES;1800
Loyettes;LOYETTES;1360
Lurcy;LURCY;1090
Luthézieu;LUTHEZIEU;1260
Magnieu;MAGNIEU;1300
Maillat;MAILLAT;1430
Malafretaz;MALAFRETAZ;1340
Mantenay-Montlin;MANTENAY MONTLIN;1560
Manziat;MANZIAT;1570
Marboz;MARBOZ;1851
Marchamp;MARCHAMP;1680
Marignieu;MARIGNIEU;1300
Marlieux;MARLIEUX;1240
Marsonnas;MARSONNAS;1340
Martignat;MARTIGNAT;1810
Massieux;MASSIEUX;1600
Massignieu-de-Rives;MASSIGNIEU DE RIVES;1300
Matafelon-Granges;MATAFELON GRANGES;1580
Meillonnas;MEILLONNAS;1370
Mérignat;MERIGNAT;1450
Meximieux;MEXIMIEUX;1800
Bohas-Meyriat-Rignat;BOHAS MEYRIAT RIGNAT;1250
Mézériat;MEZERIAT;1660
Mijoux;MIJOUX;1170
Mionnay;MIONNAY;1390
Misérieux;MISERIEUX;1600
Moëns;MOENS;1280
Mogneneins;MOGNENEINS;1140
Mollon;MOLLON;1800
Montagnat;MONTAGNAT;1250
Montagnieu;MONTAGNIEU;1470
Montanges;MONTANGES;1200
Montceaux;MONTCEAUX;1090
Montcet;MONTCET;1310
Le Montellier;LE MONTELLIER;1800
Monthieux;MONTHIEUX;1390
Montluel;MONTLUEL;1120
Montmerle-sur-Saône;MONTMERLE SUR SAONE;1090
Montracol;MONTRACOL;1310
Montrevel-en-Bresse;MONTREVEL EN BRESSE;1340
Murs-et-Gélignieux;MURS ET GELIGNIEUX;1300
Nantua;NANTUA;1460
Napt;NAPT;1580
Nattages;NATTAGES;1300
Neuville-les-Dames;NEUVILLE LES DAMES;1400
Neuville-sur-Ain;NEUVILLE SUR AIN;1160
Les Neyrolles;LES NEYROLLES;1130
Nièvroz;NIEVROZ;1120
Nivollet-Montgriffon;NIVOLLET MONTGRIFFON;1230
Ochiaz;OCHIAZ;1200
Oncieu;ONCIEU;1230
Ordonnaz;ORDONNAZ;1510
Ornex;ORNEX;1210
Outriaz;OUTRIAZ;1430
Oyonnax;OYONNAX;1100
Ozan;OZAN;1190
Parcieux;PARCIEUX;1600
Parves;PARVES;1300
Passin;PASSIN;1260
Péron;PERON;1630
Péronnas;PERONNAS;1960
Pérouges;PEROUGES;1800
Perrex;PERREX;1540
Le Petit-Abergement;LE PETIT ABERGEMENT;1260
Peyriat;PEYRIAT;1430
Peyzieux-sur-Saône;PEYZIEUX SUR SAONE;1140
Pirajoux;PIRAJOUX;1270
Pizay;PIZAY;1120
Plagne;PLAGNE;1130
Le Plantay;LE PLANTAY;1330
Le Poizat;LE POIZAT;1130
Polliat;POLLIAT;1310
Pollieu;POLLIEU;1350
Poncin;PONCIN;1450
Pont-d'Ain;PONT D AIN;1160
Pont-de-Vaux;PONT DE VAUX;1190
Pont-de-Veyle;PONT DE VEYLE;1290
Port;PORT;1460
Pougny;POUGNY;1550
Pouillat;POUILLAT;1250
Prémeyzel;PREMEYZEL;1300
Prémillieu;PREMILLIEU;1110
Pressiat;PRESSIAT;1370
